ParentCompany,ParentorChild,Brands,DigitalIQ,MinDigitalIQ,MaxDigitalIQ,AvgDigitalIQ,Year,Range
Beiersdorf,Parent,Beiersdorf,87,78,95,87,2013,17
Beiersdorf,,La Prairie,78,,,,2013,
Beiersdorf,,Nivea,95,,,,2013,
Clarins S.A.,Parent,Clarins S.A.,111,91,130,111,2013,39
Clarins S.A.,,Thierry Mugler,91,,,,2013,
Clarins S.A.,,Clarins,130,,,,2013,
Coty Inc.,Parent,Coty Inc.,76,34,100,76,2013,66
Coty Inc.,,Vera Wang,34,,,,2013,
Coty Inc.,,OPI,65,,,,2013,
Coty Inc.,,New York Color,68,,,,2013,
Coty Inc.,,Marc Jacobs,77,,,,2013,
Coty Inc.,,Rimmel London,83,,,,2013,
Coty Inc.,,Calvin Klein Fragrance,89,,,,2013,
Coty Inc.,,Philosophy,91,,,,2013,
Coty Inc.,,Sally Hansen,100,,,,2013,
Elizabeth Arden Inc.,Parent,Elizabeth Arden Inc.,112,100,124,112,2013,24
Elizabeth Arden Inc.,,Juicy Couture,100,,,,2013,
Elizabeth Arden Inc.,,Elizabeth Arden,124,,,,2013,
"Johnson & Johnson, Inc.",Parent,"Johnson & Johnson, Inc.",90,80,109,90,2013,29
"Johnson & Johnson, Inc.",,Aveeno,80,,,,2013,
"Johnson & Johnson, Inc.",,Clean & Clear,82,,,,2013,
"Johnson & Johnson, Inc.",,Neutrogena,109,,,,2013,
L' Oreal Group,Parent,L' Oreal Group,112,50,149,112,2013,99
L' Oreal Group,,Viktor & Rolf,50,,,,2013,
L' Oreal Group,,Vichy,94,,,,2013,
L' Oreal Group,,La Roche-Posay,95,,,,2013,
L' Oreal Group,,Garnier,98,,,,2013,
L' Oreal Group,,Essie,101,,,,2013,
L' Oreal Group,,Skincenticals,103,,,,2013,
L' Oreal Group,,Ralph Lauren,105,,,,2013,
L' Oreal Group,,Yves Saint Laurent Beauty,106,,,,2013,
L' Oreal Group,,Giorgio Armani Beauty,117,,,,2013,
L' Oreal Group,,Urban Decay,123,,,,2013,
L' Oreal Group,,Maybelline New York,124,,,,2013,
L' Oreal Group,,em Cosmetics,126,,,,2013,
L' Oreal Group,,L'Oréal Paris,143,,,,2013,
L' Oreal Group,,Kiehl's,144,,,,2013,
L' Oreal Group,,Lancome,149,,,,2013,
LVMH,Parent,LVMH,105,82,141,105,2013,59
LVMH,,Fresh,82,,,,2013,
LVMH,,Dior,96,,,,2013,
LVMH,,Make Up For Ever,101,,,,2013,
LVMH,,Benefit Cosmetics,141,,,,2013,
Procter & Gamble,Parent,Procter & Gamble,80,46,122,80,2013,76
Procter & Gamble,,Puma,46,,,,2013,
Procter & Gamble,,James Bond,48,,,,2013,
Procter & Gamble,,Dolce & Gabbana,68,,,,2013,
Procter & Gamble,,Lacoste,71,,,,2013,
Procter & Gamble,,Hugo Boss,72,,,,2013,
Procter & Gamble,,SK-II,76,,,,2013,
Procter & Gamble,,Gucci,100,,,,2013,
Procter & Gamble,,Olay,120,,,,2013,
Procter & Gamble,,CoverGirl,122,,,,2013,
Shiseido Co.,Parent,Shiseido Co.,95,50,131,95,2013,81
Shiseido Co.,,Jean Paul Gaultier,50,,,,2013,
Shiseido Co.,,Shiseido,95,,,,2013,
Shiseido Co.,,NARS Cosmetics,105,,,,2013,
Shiseido Co.,,Bare Escentuals,131,,,,2013,
The Estee Lauder Companies,Parent,The Estee Lauder Companies,119,73,141,119,2013,68
The Estee Lauder Companies,,Donna Karan,73,,,,2013,
The Estee Lauder Companies,,Michael Kors,99,,,,2013,
The Estee Lauder Companies,,La Mer,102,,,,2013,
The Estee Lauder Companies,,Jo Malone,109,,,,2013,
The Estee Lauder Companies,,Origins,115,,,,2013,
The Estee Lauder Companies,,Smashbox Cosmetics,128,,,,2013,
The Estee Lauder Companies,,MAC Cosmetics,131,,,,2013,
The Estee Lauder Companies,,Aveda,134,,,,2013,
The Estee Lauder Companies,,Clinique,137,,,,2013,
The Estee Lauder Companies,,Bobbi Brown,141,,,,2013,
The Estee Lauder Companies,,Estée Lauder,141,,,,2013,
Unilever,Parent,Unilever,84,73,95,84,2013,22
Unilever,,Pond's,73,,,,2013,
Unilever,,Simple,95,,,,2013,
