ParentCompany,ParentorChild,Brands,DigitalIQ,MinDigitalIQ,MaxDigitalIQ,AvgDigitalIQ,Year,Range
Clarins S.A.,,Chanel,114,,,,2014,
Clarins S.A.,,Clarins,123,,,,2014,
Clarins S.A.,,Thierry Mugler,90,,,,2014,
Clarins S.A.,Parent,Clarins S.A.,107,90,123,107,2014,33
Coty Inc.,,Sally Hansen,113,,,,2014,
Coty Inc.,,Philosophy,112,,,,2014,
Coty Inc.,,Calvin Klein Fragrances,102,,,,2014,
Coty Inc.,,Rimmel London,95,,,,2014,
Coty Inc.,,OPI,88,,,,2014,
Coty Inc.,,Marc Jacobs Fragrance,78,,,,2014,
Coty Inc.,,New York Color,62,,,,2014,
Coty Inc.,,Vera Wang,43,,,,2014,
Coty Inc.,Parent,Coty Inc.,87,43,113,87,2014,70
Elizabeth Arden Inc.,,Elizabeth Arden,115,,,,2014,
Elizabeth Arden Inc.,,Juicy Couture,70,,,,2014,
Elizabeth Arden Inc.,Parent,Elizabeth Arden Inc.,93,70,115,93,2014,45
"Johnson & Johnson, Inc.",,Neutrogena,115,,,,2014,
"Johnson & Johnson, Inc.",,Clean & Clear,100,,,,2014,
"Johnson & Johnson, Inc.",,Aveeno,93,,,,2014,
"Johnson & Johnson, Inc.",Parent,"Johnson & Johnson, Inc.",103,93,115,103,2014,22
L' Oreal Group,,L'Oreal Paris,152,,,,2014,
L' Oreal Group,,Lancome,144,,,,2014,
L' Oreal Group,,Maybelline New York,138,,,,2014,
L' Oreal Group,,Urban Decay,136,,,,2014,
L' Oreal Group,,Kiehl's,135,,,,2014,
L' Oreal Group,,Essie,124,,,,2014,
L' Oreal Group,,NYX,119,,,,2014,
L' Oreal Group,,Garnier,115,,,,2014,
L' Oreal Group,,Giorgio Armani Beauty,114,,,,2014,
L' Oreal Group,,La Roche-Posay,112,,,,2014,
L' Oreal Group,,em cosmetics,112,,,,2014,
L' Oreal Group,,Dermablend,109,,,,2014,
L' Oreal Group,,Clarisonic,108,,,,2014,
L' Oreal Group,,Skinceuticals,105,,,,2014,
L' Oreal Group,,Yves Saint Laurent,103,,,,2014,
L' Oreal Group,,Vichy,97,,,,2014,
L' Oreal Group,,Ralph Lauren,97,,,,2014,
L' Oreal Group,,Viktor & Rolf,47,,,,2014,
L' Oreal Group,Parent,L' Oreal Group,115,47,152,115,2014,105
LVMH,,Benefit Cosmetics,136,,,,2014,
LVMH,,Make Up For Ever,115,,,,2014,
LVMH,,Dior,109,,,,2014,
LVMH,,Fresh,101,,,,2014,
LVMH,,Marc Jacobs Beauty,87,,,,2014,
LVMH,,Guerlain,68,,,,2014,
LVMH,Parent,LVMH,103,68,136,103,2014,68
Procter & Gamble,,Olay,133,,,,2014,
Procter & Gamble,,CoverGirl,129,,,,2014,
Procter & Gamble,,Dolce & Gabbana,89,,,,2014,
Procter & Gamble,,Gucci,85,,,,2014,
Procter & Gamble,,Hugo Boss,71,,,,2014,
Procter & Gamble,,SK-II,71,,,,2014,
Procter & Gamble,,Lacoste,61,,,,2014,
Procter & Gamble,,James Bond,48,,,,2014,
Procter & Gamble,,Puma,47,,,,2014,
Procter & Gamble,Parent,Procter & Gamble,82,47,133,82,2014,86
Puig SL,,Prada,58,,,,2014,
Puig SL,,Nina Ricci,50,,,,2014,
Puig SL,Parent,Puig SL,54,50,58,54,2014,8
Revlon,,Revlon(Child),104,,,,2014,
Revlon,,Almay,74,,,,2014,
Revlon,Parent,Revlon,89,74,104,89,2014,30
Shiseido Co.,,Bare Escentuals,134,,,,2014,
Shiseido Co.,,NARS Cosmetics,118,,,,2014,
Shiseido Co.,,Shiseido,103,,,,2014,
Shiseido Co.,,Jean Paul Gaultier,58,,,,2014,
Shiseido Co.,Parent,Shiseido Co.,103,58,134,103,2014,76
The Estee Lauder Companies,,Clinique,143,,,,2014,
The Estee Lauder Companies,,Estée Lauder,138,,,,2014,
The Estee Lauder Companies,,MAC Cosmetics,134,,,,2014,
The Estee Lauder Companies,,Aveda,129,,,,2014,
The Estee Lauder Companies,,Bobbi Brown,128,,,,2014,
The Estee Lauder Companies,,Smashbox Cosmetics,128,,,,2014,
The Estee Lauder Companies,,Origins,114,,,,2014,
The Estee Lauder Companies,,Jo Malone,112,,,,2014,
The Estee Lauder Companies,,La Mer,106,,,,2014,
The Estee Lauder Companies,,Michael Kors,95,,,,2014,
The Estee Lauder Companies,,Donna Karan,78,,,,2014,
The Estee Lauder Companies,Parent,The Estee Lauder Companies,119,78,143,119,2014,65
